	mut15	mut15	mut1	mut1	mut2	mut2	mut3	mut3	mut4	mut4	mut5	mut5	mut6	mut6	mut7	mut7	mut8	mut8	mut9	mut9	mut10	mut10	mut11	mut11	mut12	mut12	mut13	mut13	mut14	mut14
cell1	0	63	53	2	52	0	61	7	47	0	50	0	59	2	46	0	53	0	51	0	55	0	55	0	45	0	43	2	57	0
cell2	0	42	35	16	42	1	15	31	28	29	41	5	49	0	57	0	30	0	62	0	55	1	45	0	58	0	43	0	54	1
cell3	0	40	45	10	44	0	35	23	43	21	56	0	47	0	39	0	51	0	54	0	50	0	43	0	50	0	44	0	52	0
cell4	0	47	23	29	45	0	23	27	52	0	61	0	54	1	56	0	33	0	46	0	50	0	74	1	38	13	47	0	57	0
cell5	0	49	32	11	38	0	12	37	41	0	40	0	37	0	49	0	41	0	61	0	27	12	39	0	42	0	46	0	33	7
cell6	0	49	18	41	53	1	48	0	50	0	51	0	39	0	48	0	47	0	52	0	46	0	32	28	48	0	31	9	36	11
cell7	0	54	42	0	50	0	18	38	34	0	49	0	52	0	49	0	45	0	53	2	34	12	43	0	51	0	43	1	48	0
cell8	0	47	15	25	53	0	47	0	47	0	45	0	46	0	42	1	51	4	48	0	45	0	40	3	48	0	18	15	47	0
cell9	0	48	58	5	42	6	27	31	38	16	39	7	60	0	43	0	35	0	44	0	39	0	53	0	47	0	33	0	54	0
cell10	0	56	47	13	51	0	11	42	13	26	42	4	44	0	40	3	48	0	42	0	51	5	49	0	49	1	47	0	53	0
cell11	0	54	43	0	46	1	52	0	57	2	59	0	46	0	49	3	54	1	41	0	43	1	52	0	62	0	50	0	49	0
cell12	0	57	45	1	38	0	45	0	50	2	52	1	61	1	41	0	38	0	47	0	65	0	57	0	52	2	44	0	50	0
cell13	3	44	49	5	43	1	32	0	43	0	49	2	1	56	56	0	49	5	62	0	36	0	51	0	56	0	39	3	43	0
cell14	0	56	8	61	55	0	51	0	52	0	44	0	65	0	57	0	46	0	61	0	54	0	43	0	29	0	49	0	61	0
cell15	0	48	29	17	45	5	46	6	51	2	54	0	54	0	43	0	62	0	57	2	49	0	54	0	58	0	52	0	56	0
cell16	0	49	28	10	44	6	26	23	43	0	44	0	38	0	54	0	50	0	54	0	45	1	44	1	55	0	44	0	36	2
cell17	0	61	40	9	48	0	21	35	43	12	60	0	61	0	69	0	40	0	44	6	54	0	47	1	49	0	45	2	59	0
