	cell1	cell1	cell2	cell2	cell3	cell3	cell4	cell4	cell5	cell5	cell6	cell6	cell7	cell7	cell8	cell8	cell9	cell9	cell10	cell10	cell11	cell11	cell12	cell12	cell13	cell13	cell14	cell14	cell15	cell15	cell16	cell16	cell17	cell17	cell18	cell18	cell19	cell19	cell20	cell20	cell21	cell21	cell22	cell22	cell23	cell23	cell24	cell24	cell25	cell25	cell26	cell26	cell27	cell27	cell28	cell28	cell29	cell29	cell30	cell30	cell31	cell31	cell32	cell32	cell33	cell33	cell34	cell34	cell35	cell35	cell36	cell36	cell37	cell37	cell38	cell38	cell39	cell39	cell40	cell40	cell41	cell41	cell42	cell42	cell43	cell43	cell44	cell44	cell45	cell45	cell46	cell46	cell47	cell47	cell48	cell48	cell49	cell49	cell50	cell50
mut10	1	48	1	45	0	50	0	55	0	55	0	50	0	45	6	36	0	52	1	58	1	58	1	43	0	55	0	50	11	44	0	45	0	54	0	60	0	54	0	46	0	48	0	43	0	55	0	54	0	56	0	51	0	49	0	48	3	40	0	48	2	46	0	52	0	45	0	59	0	58	0	68	1	43	0	50	4	47	0	52	0	53	0	46	9	49	0	55	0	46	0	41	2	39	0	42	0	39	2	41
mut1	17	44	22	21	24	10	12	39	26	23	22	25	25	25	33	17	9	41	3	43	49	7	24	39	31	22	36	18	12	33	38	15	15	38	21	14	8	32	7	43	8	42	21	32	39	4	17	30	5	43	20	27	21	20	41	0	37	8	69	0	16	41	13	45	15	32	27	14	47	0	4	39	40	19	27	30	21	19	8	43	20	21	33	10	17	25	57	0	39	12	11	34	17	22	38	1	45	0	1	49
mut2	13	36	47	0	50	0	47	0	45	1	53	2	44	0	59	0	51	0	46	1	49	0	44	0	49	0	39	3	41	1	53	0	40	4	40	0	46	1	63	0	55	0	55	0	39	0	36	3	65	0	61	0	54	0	48	1	67	0	45	0	45	0	14	27	49	0	54	0	41	2	50	10	42	0	40	12	55	0	56	0	35	1	50	0	54	0	51	0	63	0	54	0	43	0	53	1	53	0	35	8
mut3	61	0	54	0	52	0	53	13	48	1	42	0	22	21	53	1	49	1	42	6	50	0	35	12	65	0	52	2	57	2	43	10	60	0	45	0	40	13	46	0	41	3	24	25	43	0	37	14	44	3	39	9	44	1	55	0	54	0	45	0	41	0	69	0	41	3	57	0	45	0	17	23	56	0	53	0	48	0	40	3	28	20	51	7	49	1	40	0	53	0	51	12	61	0	38	0	38	0	62	0
mut4	45	13	51	0	36	1	55	0	49	3	49	0	57	0	54	0	45	2	55	0	57	0	44	0	46	0	59	0	47	2	54	0	48	0	54	0	46	0	44	0	53	0	41	10	61	0	52	0	54	2	49	0	63	0	44	0	53	3	63	0	49	0	44	7	49	0	57	0	72	0	53	0	49	0	41	7	49	0	45	0	33	5	53	0	46	1	66	0	58	6	40	0	41	0	63	0	43	1	35	3
mut5	63	1	27	29	47	0	33	7	41	0	49	0	54	0	56	0	40	10	38	6	51	0	47	5	68	0	36	1	42	0	46	0	49	0	48	0	39	14	48	2	27	17	53	0	54	0	49	11	54	2	36	15	59	0	51	1	53	0	63	0	46	0	63	0	45	4	45	0	53	0	45	6	53	0	34	0	71	0	48	4	48	1	55	0	43	3	61	0	54	0	27	16	45	0	46	0	50	0	54	0
mut6	51	0	45	2	26	29	53	0	52	0	54	0	58	1	26	17	48	0	61	0	36	2	48	0	49	0	46	18	53	0	54	1	37	17	50	0	53	0	52	0	53	0	55	0	46	1	51	1	57	0	47	0	66	0	45	0	7	35	47	0	44	0	47	0	46	0	37	2	61	0	56	0	42	0	65	0	60	3	49	0	45	0	50	2	56	0	56	0	43	1	54	2	55	2	51	0	50	0	50	0
mut7	40	0	39	12	56	0	34	19	61	7	53	0	33	6	60	0	30	8	51	4	52	0	49	7	47	0	51	2	57	4	41	18	44	0	26	15	42	5	44	0	40	14	37	8	37	15	25	14	47	1	41	11	45	6	59	4	42	0	43	2	51	0	52	0	46	1	15	36	53	0	42	2	46	11	56	0	17	36	49	2	36	19	20	33	27	16	56	0	47	0	45	9	23	28	51	0	51	0	37	1
mut8	59	0	47	1	49	2	48	0	45	0	51	0	55	0	56	0	45	0	40	0	48	0	59	2	43	0	45	0	48	0	54	0	39	1	44	2	64	0	46	1	37	1	60	0	51	0	59	1	51	0	52	0	33	0	46	0	56	3	54	0	44	0	50	0	53	0	54	0	60	0	57	2	58	0	60	0	54	0	38	7	54	0	44	1	59	0	45	0	47	0	52	0	46	0	54	0	50	0	46	1
mut9	58	0	56	0	40	0	34	2	47	0	49	1	60	0	44	0	43	0	50	3	43	0	33	1	50	0	43	0	35	5	47	0	52	0	53	0	49	0	47	0	43	5	52	2	43	4	45	0	24	41	45	7	61	0	72	0	51	0	43	0	41	1	48	0	50	0	41	0	43	2	57	0	49	3	48	0	42	0	44	3	51	1	59	0	44	2	56	0	54	0	46	2	42	0	57	0	55	0	35	0
