	mut15	mut15	mut1	mut1	mut2	mut2	mut3	mut3	mut4	mut4	mut5	mut5	mut6	mut6	mut7	mut7	mut8	mut8	mut9	mut9	mut10	mut10	mut11	mut11	mut12	mut12	mut13	mut13	mut14	mut14
cell1	0	54	42	0	56	0	47	0	39	0	64	0	54	0	44	0	52	0	51	0	42	0	42	0	51	0	57	0	39	1
cell2	0	47	31	26	56	0	15	34	12	43	35	12	45	0	46	0	47	0	56	0	51	0	50	0	44	0	44	5	44	8
cell3	0	53	4	49	22	17	57	0	36	0	58	0	56	0	49	2	52	0	53	0	41	1	47	0	57	0	44	0	53	0
cell4	0	48	41	0	37	0	39	0	66	0	54	0	47	0	48	0	46	2	60	0	59	0	45	0	49	0	45	1	53	0
cell5	0	45	2	39	61	0	60	1	48	0	36	0	50	4	56	0	52	0	45	0	60	2	52	1	42	1	45	0	53	0
cell6	0	50	30	18	56	0	24	15	42	2	41	0	54	0	55	0	49	0	50	4	54	0	49	0	48	0	47	1	49	0
cell7	0	52	35	9	49	0	18	30	47	0	45	13	46	1	61	0	63	0	43	3	48	14	48	0	52	1	43	13	49	3
cell8	0	47	37	18	49	0	39	9	56	13	63	0	49	0	48	0	54	0	45	0	46	0	48	0	52	1	58	6	41	0
cell9	0	48	31	29	42	0	18	17	36	13	54	2	61	0	46	0	44	0	63	0	60	0	46	0	57	0	40	7	46	0
cell10	0	55	32	16	39	0	15	39	27	16	42	21	57	1	28	26	48	0	43	0	46	0	60	0	48	0	51	18	30	1
cell11	4	44	21	34	15	43	51	0	56	0	47	0	49	1	50	0	47	0	49	0	47	0	36	18	49	0	64	0	49	0
cell12	1	45	12	29	48	0	32	8	40	0	68	0	41	0	48	8	51	0	46	0	39	0	54	3	55	0	34	15	48	0
cell13	5	63	57	0	44	3	46	1	53	3	41	1	42	0	60	0	50	0	55	0	43	0	63	0	56	0	51	0	47	0
cell14	0	53	50	5	55	0	3	37	38	24	23	27	46	0	45	0	57	0	42	0	54	0	31	0	47	0	48	0	43	13
cell15	0	42	27	21	54	1	47	2	53	0	56	0	52	1	35	3	53	0	57	0	31	8	54	0	65	1	44	0	51	0
cell16	0	52	37	16	65	0	16	34	40	9	43	7	62	0	54	0	38	0	33	0	49	0	48	0	50	0	46	8	50	0
cell17	0	52	25	16	54	0	38	12	51	0	54	0	46	0	49	0	60	0	50	0	66	0	48	1	48	2	37	5	47	0
cell18	0	43	40	28	40	0	27	13	57	1	57	0	38	0	42	0	60	0	30	25	43	1	54	0	56	0	28	9	44	0
cell19	1	49	40	16	44	3	37	23	28	27	37	7	46	4	40	0	65	1	58	0	40	0	70	2	48	0	52	8	41	0
cell20	0	53	39	16	47	0	11	26	37	16	53	1	61	0	61	0	50	0	56	1	51	0	52	0	41	0	45	4	51	7
cell21	0	37	40	10	43	0	11	53	54	1	47	0	53	0	38	6	59	0	31	23	37	5	59	0	53	1	50	1	51	0
cell22	1	60	3	45	36	21	40	0	50	1	53	0	37	2	45	5	44	0	49	0	51	0	49	0	53	0	56	0	36	0
cell23	0	54	3	45	27	37	39	0	44	0	55	0	43	0	52	0	35	15	48	0	43	0	23	15	44	0	62	0	48	3
cell24	0	55	23	23	55	0	25	27	57	2	40	13	40	0	47	0	47	0	54	0	41	0	48	0	46	2	32	15	33	15
cell25	0	52	0	38	48	0	41	2	46	3	47	0	51	0	46	0	57	0	52	0	51	1	51	0	41	0	42	0	46	0
cell26	0	56	11	48	47	3	54	0	56	0	56	0	41	0	48	0	55	0	63	0	46	0	38	17	40	0	57	0	50	0
cell27	0	50	39	11	39	3	37	22	39	0	66	0	39	1	46	0	49	1	34	11	52	0	40	0	54	0	62	5	54	0
cell28	0	45	17	40	58	0	60	2	55	0	51	0	41	0	54	0	35	0	46	9	52	0	53	0	44	0	28	12	60	0
cell29	0	46	30	19	59	0	26	18	50	2	48	2	41	8	46	0	45	0	58	0	45	0	46	1	55	0	49	0	46	0
cell30	0	46	26	30	43	1	21	16	53	0	44	0	43	0	53	0	47	0	51	3	40	0	65	0	54	0	29	17	55	1
cell31	0	43	46	7	51	2	8	44	39	16	36	7	56	0	52	0	53	0	53	0	48	1	46	0	54	1	40	1	41	0
cell32	0	41	20	19	39	0	42	7	40	6	35	6	43	0	45	1	53	0	47	0	47	2	57	0	55	0	39	9	40	0
cell33	2	51	2	46	58	0	38	1	48	6	40	0	48	0	58	3	45	0	45	0	41	0	56	0	57	0	16	33	41	0
cell34	0	48	36	12	56	1	9	34	19	13	48	0	53	0	55	2	43	2	42	13	26	18	51	0	48	0	39	0	54	0
cell35	7	45	21	31	40	7	54	0	43	0	53	0	51	0	46	0	47	1	47	0	55	0	43	0	52	0	47	6	49	0
cell36	0	54	60	0	46	0	68	0	53	3	53	0	50	0	35	3	50	0	61	0	50	9	39	0	45	0	32	0	54	0
cell37	0	54	43	17	53	0	20	41	41	0	42	0	45	0	32	0	50	0	22	19	28	29	53	0	53	0	49	1	44	2
cell38	0	52	21	25	42	0	51	15	37	11	48	0	59	1	49	0	45	0	42	0	48	0	35	0	51	1	20	16	46	0
cell39	0	52	25	26	39	1	34	24	56	0	50	0	53	0	47	0	44	0	37	1	57	0	53	0	51	0	35	9	66	0
cell40	0	49	13	47	45	0	37	11	30	19	46	0	49	0	53	0	52	0	38	5	54	0	46	1	52	0	37	6	58	0
cell41	4	39	31	20	48	0	22	29	38	15	63	9	59	0	49	10	44	0	50	0	58	0	60	1	46	0	45	11	48	0
