	mut15	mut15	mut1	mut1	mut2	mut2	mut3	mut3	mut4	mut4	mut5	mut5	mut6	mut6	mut7	mut7	mut8	mut8	mut9	mut9	mut10	mut10	mut11	mut11	mut12	mut12	mut13	mut13	mut14	mut14
cell1	1	48	18	21	28	21	51	2	61	0	46	0	57	0	45	0	47	0	54	0	44	4	63	0	48	0	41	0	50	1
cell2	1	52	19	31	51	0	47	0	62	0	54	1	43	2	41	0	46	1	54	0	59	0	65	0	55	0	54	0	51	0
cell3	0	52	16	20	50	0	42	0	42	0	60	0	34	0	44	19	42	6	48	0	68	0	43	0	55	0	43	0	63	0
cell4	2	46	18	29	44	1	36	1	42	1	49	0	62	0	41	1	43	0	22	23	48	2	55	0	53	0	45	0	56	12
cell5	0	60	29	14	65	0	53	0	53	0	54	1	50	0	46	0	47	0	44	7	67	0	51	1	42	0	54	0	48	1
cell6	0	50	30	11	48	0	43	0	51	1	51	0	68	2	41	16	42	2	49	0	46	0	51	0	57	0	66	1	41	0
cell7	0	45	32	21	54	0	33	9	44	0	56	0	37	19	69	0	59	0	48	1	52	0	58	0	69	0	56	0	38	0
cell8	0	48	3	40	48	0	42	0	54	0	49	6	39	0	31	0	46	1	17	31	37	2	47	0	34	10	49	0	36	17
cell9	0	66	28	23	54	0	24	7	44	0	39	0	47	0	51	0	39	0	39	0	41	0	49	0	68	0	45	0	51	0
cell10	0	49	49	1	53	0	47	0	55	2	55	0	48	0	20	34	39	10	44	0	40	0	53	0	45	0	31	18	40	0
cell11	0	49	37	4	40	3	48	0	55	0	47	0	23	27	47	0	47	0	37	3	56	0	51	0	55	0	47	0	44	0
cell12	0	51	55	4	44	0	39	5	54	0	52	5	40	1	11	33	43	9	43	9	46	0	52	0	48	0	50	0	50	0
cell13	0	42	29	18	59	0	50	0	59	0	51	0	58	0	36	12	63	0	61	0	45	1	54	0	42	0	55	0	59	0
cell14	2	43	34	22	50	1	52	1	56	2	41	0	60	0	48	9	56	0	47	0	57	0	43	0	47	1	54	0	54	0
cell15	1	57	1	44	62	1	44	0	46	0	40	0	54	0	46	0	49	0	2	48	42	2	47	0	44	0	47	0	46	0
cell16	0	64	12	28	54	0	54	0	43	0	42	18	22	20	46	1	44	0	45	1	49	0	37	0	61	0	44	0	48	5
