	mut15	mut15	mut1	mut1	mut2	mut2	mut3	mut3	mut4	mut4	mut5	mut5	mut6	mut6	mut7	mut7	mut8	mut8	mut9	mut9	mut10	mut10	mut11	mut11	mut12	mut12	mut13	mut13	mut14	mut14
cell1	0	48	11	43	50	0	52	0	34	16	48	0	47	0	52	0	50	0	49	0	40	3	52	0	46	0	52	0	47	1
cell2	0	43	15	28	44	0	29	20	55	0	39	11	50	3	49	0	53	0	51	7	44	0	44	0	46	1	56	0	42	0
cell3	0	57	16	21	54	0	19	21	58	0	38	11	62	0	45	1	52	0	26	15	48	0	46	11	38	2	43	0	42	0
cell4	0	45	34	18	39	0	54	4	51	0	31	22	58	0	42	0	42	0	22	42	47	3	35	18	48	2	56	0	52	0
cell5	0	41	16	36	53	0	51	0	39	23	49	0	35	1	49	0	52	0	52	0	35	8	53	0	41	0	46	1	50	0
cell6	0	40	43	9	42	0	45	0	48	0	18	39	50	1	50	0	44	0	51	2	47	0	64	0	50	0	38	1	53	0
cell7	0	56	3	29	53	0	42	0	6	41	50	0	47	0	47	0	53	0	40	0	35	29	57	0	48	0	45	2	48	0
cell8	0	49	2	51	45	0	45	3	16	16	47	0	51	0	44	0	49	0	42	1	31	14	45	1	48	0	60	0	53	0
cell9	0	56	38	9	41	0	45	0	45	0	13	43	42	8	48	4	63	0	53	0	50	0	46	2	66	0	61	0	54	3
cell10	0	48	43	2	45	5	49	0	55	0	56	0	55	0	53	1	50	0	49	6	51	0	42	0	57	0	42	0	56	2
cell11	0	52	18	33	52	1	45	2	53	2	35	22	44	7	62	1	59	0	47	0	51	0	51	1	47	3	53	5	51	2
cell12	0	62	53	9	57	0	53	0	52	0	12	40	39	0	30	18	60	0	54	0	48	0	38	0	59	0	51	0	54	0
cell13	0	49	17	24	53	0	45	8	47	0	34	9	38	8	43	0	56	1	50	0	47	0	52	0	48	5	42	0	46	0
cell14	2	49	25	29	50	0	47	5	47	0	47	6	43	5	54	0	46	0	43	0	57	0	60	0	45	8	41	0	52	1
cell15	1	49	59	0	56	1	44	0	55	0	46	0	46	1	43	0	48	7	61	0	49	0	46	0	47	0	61	0	47	3
cell16	0	67	36	23	44	4	43	0	53	0	23	23	55	0	45	5	51	0	62	0	59	0	54	0	33	4	62	0	57	0
cell17	0	58	50	2	43	4	52	0	47	0	58	0	66	0	56	1	33	21	57	0	61	0	62	0	59	0	46	0	54	0
cell18	0	54	9	52	52	0	49	4	62	0	42	0	45	0	50	1	55	1	42	0	48	0	35	2	36	0	42	0	37	0
cell19	0	51	16	21	54	0	45	1	48	0	11	31	58	2	37	0	45	0	22	23	61	0	48	8	45	2	45	0	55	0
cell20	0	47	14	29	33	10	42	1	33	6	48	0	45	0	41	0	46	1	50	0	51	0	53	5	54	0	57	0	47	0
cell21	0	58	7	39	52	0	45	0	54	0	38	4	27	19	48	0	51	1	61	1	40	0	49	1	43	0	47	0	54	1
cell22	0	47	41	1	11	33	47	0	47	0	46	0	42	0	50	0	50	0	66	0	60	0	45	1	50	0	58	0	55	0
cell23	0	50	20	30	47	0	63	0	24	26	50	4	59	0	35	0	47	0	33	0	53	0	49	0	44	5	45	0	51	0
cell24	0	55	49	1	50	2	42	0	47	0	48	0	47	0	54	0	63	0	45	0	47	0	52	0	46	1	53	5	53	1
cell25	2	58	11	35	53	5	56	0	59	0	32	24	44	20	54	0	55	0	58	1	54	0	40	0	20	27	37	4	69	0
cell26	0	55	19	35	53	0	56	0	53	2	61	0	52	0	42	0	43	0	60	0	45	1	49	1	47	0	46	0	52	0
cell27	4	33	42	7	46	0	53	2	59	1	46	17	56	0	45	0	54	0	35	3	47	5	46	2	46	0	36	0	46	0
cell28	1	43	10	46	58	0	44	2	56	1	48	0	35	0	44	1	60	2	43	3	44	0	53	0	46	5	55	0	52	0
cell29	0	41	55	0	12	44	34	1	55	1	54	0	52	1	48	0	50	0	43	0	68	0	32	0	41	0	45	2	53	0
cell30	0	49	32	13	53	0	55	1	57	0	50	0	41	3	59	0	50	3	48	0	62	0	51	0	39	1	62	0	51	1
cell31	0	57	25	21	49	0	45	0	34	13	40	1	50	0	36	1	36	2	35	0	30	24	49	0	43	0	44	0	55	0
cell32	7	39	4	51	38	1	48	0	8	45	52	0	59	0	46	0	41	0	34	0	45	12	66	0	47	1	55	5	50	0
cell33	1	48	55	3	47	0	47	0	58	0	48	0	46	0	57	0	53	0	44	0	44	5	45	0	55	0	46	0	42	0
cell34	3	38	4	55	52	0	51	0	7	45	47	1	45	0	66	0	56	0	60	0	15	42	46	0	52	0	43	7	42	0
cell35	0	49	13	39	46	0	45	0	8	40	39	0	48	0	47	0	46	0	42	0	55	0	43	0	57	0	44	0	59	0
cell36	0	42	56	0	49	0	52	1	58	0	55	0	51	0	43	0	40	2	40	0	51	0	53	0	50	0	51	0	46	0
cell37	0	54	30	18	35	2	33	5	31	20	51	0	48	2	56	0	47	0	59	0	41	8	40	0	48	0	46	0	60	0
cell38	0	57	46	4	57	0	38	0	54	0	1	54	46	0	34	20	49	0	35	2	36	0	45	0	54	0	64	0	43	0
cell39	0	44	51	0	38	8	56	1	44	0	51	0	47	0	43	0	46	0	51	0	38	0	58	0	51	0	47	0	53	0
cell40	0	49	53	0	51	0	43	5	48	0	44	0	55	0	55	0	60	2	63	1	46	0	34	0	46	1	39	0	47	0
