	mut15	mut15	mut1	mut1	mut2	mut2	mut3	mut3	mut4	mut4	mut5	mut5	mut6	mut6	mut7	mut7	mut8	mut8	mut9	mut9	mut10	mut10	mut11	mut11	mut12	mut12	mut13	mut13	mut14	mut14
cell1	0	51	20	28	23	37	54	0	43	3	59	0	39	1	46	4	47	1	40	0	46	0	43	0	50	1	49	0	62	0
cell2	0	47	3	52	47	0	44	0	41	4	44	0	48	3	50	0	51	0	47	0	44	0	50	0	51	0	57	0	51	0
cell3	1	63	22	20	51	0	52	0	49	0	58	0	46	0	22	32	42	11	58	0	49	6	47	1	52	1	42	4	61	0
cell4	0	51	15	32	39	4	64	0	57	0	51	0	45	1	45	0	45	1	30	26	39	0	46	0	27	23	54	0	55	0
cell5	0	53	41	11	46	0	53	0	60	0	51	0	52	0	49	1	47	0	66	0	51	2	49	0	53	1	49	0	70	0
cell6	0	56	30	19	48	0	48	0	45	0	48	0	39	0	58	2	35	13	39	0	52	1	42	7	49	0	46	0	48	2
cell7	0	39	34	19	62	0	45	15	37	0	47	2	42	11	51	1	55	0	54	0	42	0	48	0	47	0	48	0	53	1
cell8	0	49	13	31	44	4	59	1	43	0	50	0	40	0	71	0	58	0	32	28	53	0	37	0	45	6	59	0	64	0
cell9	0	56	12	32	33	0	27	16	57	0	65	0	45	3	40	0	49	0	60	0	55	0	45	3	37	5	58	0	42	0
cell10	1	50	39	19	44	0	50	0	52	0	37	0	48	0	18	35	35	18	46	0	63	0	56	0	53	0	57	4	45	1
cell11	4	47	48	1	54	0	41	0	38	0	43	0	21	39	48	0	54	1	42	0	56	0	67	0	53	0	53	0	59	0
cell12	0	38	44	2	38	6	59	0	46	0	42	0	65	0	30	20	44	1	57	0	54	0	47	2	51	1	33	5	43	0
cell13	0	49	37	11	49	6	38	0	33	8	44	0	34	2	41	4	62	1	36	4	51	0	66	0	52	1	53	0	54	0
cell14	0	47	37	10	59	0	57	0	38	0	60	0	42	0	41	7	54	0	42	3	54	0	58	0	49	0	46	0	38	0
cell15	0	45	3	25	32	12	45	0	37	0	39	1	52	0	40	0	47	0	16	26	48	5	57	7	44	0	59	0	53	0
cell16	0	43	1	64	55	1	51	0	37	3	44	0	46	0	64	0	52	0	36	5	43	0	46	0	47	0	52	1	45	0
cell17	0	42	7	41	55	0	47	0	64	0	56	0	40	1	59	0	38	0	34	18	52	4	50	0	39	2	38	2	52	0
cell18	0	47	0	55	26	35	44	1	13	30	41	0	49	0	53	0	48	0	40	6	56	0	57	0	43	4	41	0	26	25
cell19	0	49	17	23	26	21	40	1	34	17	60	0	48	2	48	2	41	0	34	5	56	1	45	0	59	0	56	2	36	5
cell20	0	34	33	8	44	0	48	5	54	4	44	0	12	37	48	0	50	0	51	0	58	0	20	31	50	0	46	0	54	0
cell21	2	48	3	56	26	29	39	0	32	15	46	0	52	0	55	0	62	0	42	13	52	0	57	0	47	0	49	0	60	0
cell22	0	51	49	17	33	6	38	9	48	0	61	0	54	12	43	1	48	0	24	0	46	1	47	0	47	0	51	0	37	2
cell23	0	49	17	32	59	0	44	3	55	0	51	0	26	29	48	0	48	0	54	0	42	0	47	6	54	0	39	10	60	1
cell24	0	48	6	39	34	20	51	4	24	14	42	15	49	0	54	0	46	0	31	9	55	0	54	0	42	4	65	0	49	0
cell25	0	39	35	23	57	0	30	22	57	0	18	22	34	13	50	0	51	0	51	1	43	0	55	0	49	0	62	0	41	0
cell26	0	46	34	16	47	0	53	9	60	0	38	0	46	0	50	0	60	0	52	0	46	0	65	1	51	0	43	0	51	0
cell27	0	50	23	26	44	0	43	0	59	0	54	0	41	0	48	0	47	1	48	0	60	0	56	0	59	0	58	0	45	0
cell28	1	48	17	30	49	1	46	0	52	0	44	2	43	0	38	0	45	0	36	0	47	0	51	4	50	0	52	2	47	0
cell29	3	48	10	35	39	0	43	0	38	0	50	5	40	12	56	1	50	0	54	0	48	0	40	0	50	0	63	0	40	0
cell30	0	43	4	39	35	11	43	1	54	0	58	0	49	0	52	0	47	0	22	30	48	6	40	0	55	0	63	2	50	1
cell31	0	42	30	20	38	6	46	0	39	0	45	1	42	0	58	1	46	0	46	5	58	0	40	0	61	0	54	0	43	0
cell32	0	44	17	29	43	0	53	0	50	0	55	0	46	0	29	0	46	0	49	1	45	0	48	0	48	0	52	0	50	0
cell33	0	45	41	18	45	0	51	0	61	0	50	0	43	6	42	0	46	0	53	0	62	0	46	0	53	0	41	2	50	0
cell34	0	50	35	18	55	0	45	0	49	0	42	0	27	27	64	0	49	0	58	0	44	0	53	0	47	0	55	0	53	0
cell35	0	51	7	47	40	0	17	29	42	0	55	0	45	2	51	0	52	0	44	0	43	0	47	0	58	0	53	0	45	3
