	mut15	mut15	mut1	mut1	mut2	mut2	mut3	mut3	mut4	mut4	mut5	mut5	mut6	mut6	mut7	mut7	mut8	mut8	mut9	mut9	mut10	mut10	mut11	mut11	mut12	mut12	mut13	mut13	mut14	mut14
cell1	0	49	34	13	52	0	46	0	49	0	49	0	52	1	66	6	62	0	15	41	52	1	46	0	45	0	53	0	54	0
cell2	0	67	9	46	56	0	20	35	53	0	32	18	51	0	48	0	46	2	52	0	59	0	54	0	48	0	52	0	36	4
cell3	0	53	28	27	36	19	50	4	58	0	46	0	52	0	43	2	50	0	45	1	48	0	43	0	48	0	55	0	55	0
cell4	0	62	13	37	55	0	55	0	39	9	44	0	46	0	50	5	48	0	52	0	50	0	36	0	50	0	64	0	50	0
cell5	0	42	22	21	20	21	49	0	45	1	42	0	48	2	44	0	44	2	36	25	52	0	58	0	39	9	51	0	51	0
cell6	0	48	2	40	43	0	59	2	16	33	52	0	45	0	41	0	7	44	55	0	45	6	46	8	54	0	53	0	58	0
cell7	1	50	1	43	56	0	44	10	53	0	38	17	49	3	53	0	59	0	53	0	51	1	52	0	46	0	43	1	56	1
cell8	0	62	19	33	52	0	46	0	21	34	47	0	63	0	45	0	24	33	62	0	38	13	22	39	54	0	57	0	51	0
cell9	1	60	3	48	50	0	29	28	34	4	14	34	63	4	42	0	49	1	62	0	56	0	54	0	47	0	50	0	33	11
cell10	0	47	35	28	46	6	46	1	58	0	44	0	48	0	46	0	61	0	41	15	50	0	47	0	57	0	42	0	43	1
cell11	0	42	6	48	43	0	8	32	50	0	13	31	58	0	60	2	67	0	58	0	48	0	45	1	52	0	54	0	24	21
cell12	0	51	2	41	56	0	38	0	18	29	47	1	55	0	43	6	44	17	49	0	46	2	31	4	47	0	50	0	55	0
cell13	0	42	22	36	50	0	49	0	31	20	55	0	60	0	50	0	49	0	52	0	52	0	34	0	45	0	55	0	53	0
cell14	0	52	3	52	44	1	27	18	34	1	48	10	43	18	51	0	60	0	41	3	50	0	38	5	52	0	41	0	44	0
cell15	0	64	1	39	43	0	24	22	50	0	28	27	46	0	47	0	56	0	56	1	55	0	65	0	49	0	55	2	52	0
cell16	0	69	55	7	38	0	52	0	33	0	47	0	65	1	39	0	63	1	33	16	42	7	47	2	50	0	50	0	59	0
cell17	0	65	43	0	37	0	47	0	53	1	49	0	43	0	52	0	61	0	44	0	44	2	57	0	51	0	50	0	42	0
cell18	1	52	28	23	48	3	42	2	42	0	54	5	51	5	43	0	40	5	55	0	41	0	42	0	57	1	48	0	54	0
cell19	0	45	37	12	47	0	34	0	61	0	53	0	59	0	50	0	56	0	20	35	54	2	68	0	46	1	56	1	52	0
cell20	0	46	48	0	38	3	55	0	57	0	43	2	48	0	48	0	40	0	51	0	44	0	51	0	55	0	58	0	49	1
cell21	0	46	8	47	41	0	20	22	42	0	41	7	46	10	63	0	44	0	42	4	48	0	53	0	50	0	51	0	55	2
cell22	2	50	8	41	50	0	24	29	53	0	9	36	35	8	45	9	37	0	49	0	45	0	57	0	55	0	44	1	48	1
cell23	0	51	36	8	46	0	39	0	64	0	58	0	41	0	41	0	55	2	28	20	54	0	50	0	49	6	49	0	53	0
cell24	0	50	11	39	44	0	61	0	33	0	50	0	57	0	52	1	49	2	57	2	51	0	54	0	52	1	37	1	38	2
cell25	0	37	29	32	45	0	56	0	61	0	35	0	58	0	43	0	58	0	27	31	51	0	60	0	52	0	43	0	51	0
cell26	0	48	39	14	48	7	38	0	57	0	45	2	49	0	47	0	51	0	53	1	45	0	41	0	65	0	46	1	55	0
cell27	0	57	14	31	53	0	40	0	47	0	54	0	49	0	55	2	41	0	41	1	57	0	42	0	62	0	47	1	37	3
cell28	0	41	43	26	44	0	56	1	31	27	49	0	43	4	52	0	30	27	58	0	27	23	46	2	52	0	33	1	60	1
cell29	0	38	0	54	44	3	62	0	22	42	48	0	56	0	51	0	39	20	38	1	36	13	23	24	49	4	38	0	55	0
cell30	0	51	6	48	51	1	16	43	47	2	50	0	41	0	50	0	49	0	56	0	57	0	54	0	58	0	40	0	49	0
cell31	0	42	24	27	58	0	56	2	17	28	52	0	56	0	49	0	47	0	56	0	59	0	48	0	51	0	54	0	42	4
cell32	0	46	31	31	51	0	48	10	49	2	60	0	42	0	40	0	58	0	42	11	35	1	35	0	45	2	53	0	39	3
cell33	0	50	14	32	39	0	23	25	54	1	41	13	27	25	28	24	48	0	58	0	47	0	48	0	39	0	38	0	46	0
cell34	0	50	11	37	50	0	15	44	50	3	10	40	61	0	47	0	58	1	44	0	50	0	46	2	46	0	48	0	40	3
cell35	0	37	51	7	62	0	54	0	56	0	51	0	55	0	48	4	39	0	38	0	55	0	52	0	51	0	51	1	53	0
cell36	0	55	6	47	52	0	15	30	50	0	42	12	39	19	44	0	46	7	53	0	51	0	46	0	51	5	38	6	48	0
cell37	1	64	15	34	23	16	59	0	50	0	42	0	54	6	46	0	49	0	27	25	41	1	52	2	40	7	53	0	55	0
cell38	1	44	19	24	52	0	39	0	17	27	43	0	46	3	48	0	44	6	51	0	28	17	50	0	47	0	52	4	57	0
