	mut10	mut10	mut1	mut1	mut2	mut2	mut3	mut3	mut4	mut4	mut5	mut5	mut6	mut6	mut7	mut7	mut8	mut8	mut9	mut9
cell1	0	45	8	34	21	28	42	0	34	14	43	0	61	0	40	2	45	0	60	0
cell2	0	56	8	41	53	0	42	0	47	0	28	25	50	4	41	5	48	3	46	0
cell3	0	50	13	38	47	0	54	1	50	0	43	0	64	0	48	0	46	0	59	0
cell4	1	45	32	14	52	0	46	0	52	0	63	1	41	9	22	30	16	25	53	0
cell5	0	43	21	27	61	0	45	0	49	1	68	0	37	2	22	28	44	0	41	10
cell6	0	53	40	8	45	1	53	0	50	0	62	0	11	36	53	0	56	0	56	0
cell7	0	47	16	25	7	34	50	1	47	6	53	0	51	0	55	0	48	0	58	0
cell8	0	45	34	26	46	0	34	13	46	0	60	0	51	9	47	4	47	1	55	0
cell9	0	56	50	1	34	1	34	2	54	0	56	0	39	0	52	0	48	0	37	13
cell10	0	36	27	26	48	0	37	17	48	0	65	1	48	2	31	9	34	14	53	0
cell11	0	55	5	53	55	0	44	0	46	1	41	0	44	0	59	0	62	0	48	0
cell12	0	68	49	6	53	0	62	0	51	0	42	2	50	5	54	10	46	0	54	2
cell13	0	51	46	5	47	0	36	1	64	0	45	0	12	31	52	0	39	0	54	0
cell14	0	41	54	5	47	0	46	0	43	0	46	0	7	48	59	0	46	0	51	0
cell15	0	41	48	0	51	0	40	0	45	0	52	0	49	0	61	0	52	0	37	0
cell16	0	46	38	23	40	0	52	8	44	0	42	0	48	0	34	14	43	6	48	0
cell17	0	47	45	0	45	0	51	0	39	0	49	0	46	0	49	0	40	0	46	0
cell18	0	49	17	28	55	0	52	0	55	0	39	0	46	1	46	6	46	0	45	3
cell19	0	50	47	3	40	0	54	0	46	0	50	0	49	0	49	1	41	0	60	1
cell20	0	32	23	23	45	0	53	3	63	0	48	0	34	21	15	22	52	0	27	15
cell21	0	60	30	23	46	0	36	4	65	0	35	0	42	3	41	0	42	0	47	3
cell22	1	60	15	26	54	6	55	0	34	0	38	0	37	2	51	0	65	0	54	1
cell23	0	55	18	34	40	0	44	12	52	3	59	0	41	13	44	0	51	0	42	0
cell24	8	37	7	26	11	43	46	0	36	10	49	0	45	0	42	0	39	0	44	0
cell25	0	52	45	14	54	0	55	1	47	2	51	0	43	6	43	13	56	0	27	26
cell26	0	56	32	23	67	0	43	4	41	0	35	0	42	9	45	1	40	0	60	0
cell27	0	52	35	15	41	1	42	0	54	0	38	9	20	25	52	1	53	1	41	1
cell28	0	63	12	38	47	0	47	0	45	0	53	4	39	6	60	0	42	1	42	0
cell29	0	45	28	25	38	0	39	15	41	0	42	0	28	24	43	1	52	0	39	0
cell30	5	57	54	2	51	0	43	1	40	1	49	0	25	30	26	29	54	0	42	0
cell31	0	51	38	3	57	0	51	0	43	0	47	0	51	0	62	0	47	0	61	0
cell32	1	54	19	33	36	1	39	0	37	0	42	12	26	23	45	0	53	1	37	0
cell33	0	67	27	21	39	16	57	1	57	2	45	0	41	0	55	0	60	0	52	1
cell34	0	50	14	40	37	0	50	0	61	0	44	0	59	1	62	0	54	0	44	0
cell35	3	38	37	10	36	2	45	0	57	0	50	0	18	35	60	0	52	0	59	0
cell36	0	45	5	37	39	9	45	0	39	0	50	0	46	0	49	6	57	0	49	0
cell37	1	51	45	11	67	0	47	6	56	0	51	0	32	16	42	3	51	0	47	0
cell38	0	55	22	18	45	0	46	1	56	0	56	0	62	3	49	1	48	0	46	0
cell39	1	55	17	25	16	29	47	2	54	0	51	0	45	0	50	1	42	0	58	0
cell40	0	52	19	30	43	0	18	25	62	0	43	0	40	4	42	11	34	6	37	0
cell41	2	53	32	17	48	0	67	4	37	0	45	0	39	1	37	17	41	15	47	0
cell42	1	49	8	34	22	43	58	2	46	2	53	0	55	0	42	0	60	1	42	0
cell43	1	44	17	36	58	0	37	1	49	0	60	0	35	19	59	0	48	1	51	0
cell44	0	62	43	13	49	0	47	5	42	0	37	5	43	1	22	40	50	0	66	0
cell45	0	49	42	25	63	0	55	1	43	0	58	0	46	5	38	16	46	3	43	0
cell46	0	40	20	19	53	0	44	0	41	0	55	0	35	8	19	28	51	0	25	1
cell47	1	52	15	33	42	0	53	0	47	0	34	16	25	11	44	2	41	0	41	0
cell48	0	53	5	47	42	2	53	0	57	0	42	1	35	0	31	0	50	0	55	0
cell49	0	47	18	34	50	0	60	0	60	0	42	2	49	8	39	4	53	0	59	0
cell50	0	54	41	9	60	0	49	3	57	0	59	0	44	10	49	6	42	0	54	0
cell51	0	55	26	30	41	0	53	0	45	1	51	0	35	5	37	2	37	0	46	9
cell52	0	41	36	14	41	0	40	8	39	2	51	0	33	23	25	19	64	0	46	0
cell53	0	37	42	4	50	0	52	0	33	9	57	0	28	20	58	0	57	0	55	0
cell54	0	51	11	24	33	21	59	0	39	18	66	3	49	0	42	0	56	0	48	4
cell55	0	57	50	2	51	0	56	0	39	2	48	0	42	2	10	31	60	0	46	0
cell56	1	49	14	35	54	0	47	0	43	5	51	0	38	2	45	4	44	1	34	29
cell57	0	61	43	10	42	0	55	0	48	0	42	1	23	32	31	22	40	0	57	0
cell58	2	47	21	18	51	0	50	0	40	0	50	0	41	15	60	0	51	0	55	4
cell59	1	42	26	30	50	0	36	16	51	0	44	0	43	8	47	0	47	0	52	0
cell60	0	51	54	1	59	0	53	0	51	0	51	2	53	0	43	0	48	0	48	0
cell61	0	44	12	29	53	0	55	0	54	0	54	0	48	6	44	9	46	0	51	1
cell62	0	47	37	23	50	0	53	1	62	0	62	1	39	12	16	32	42	11	55	0
cell63	0	46	23	28	41	1	46	6	47	0	50	0	51	1	39	13	36	6	48	0
cell64	0	49	42	5	40	0	54	0	52	0	55	0	35	16	50	0	44	0	48	0
cell65	0	50	42	22	45	0	48	8	53	0	45	1	40	8	22	16	27	29	58	0
cell66	0	43	22	27	39	1	44	0	55	0	27	24	44	8	52	0	41	5	54	0
cell67	2	46	22	20	53	0	58	0	44	0	39	2	45	5	37	9	56	0	45	0
cell68	0	37	20	20	38	5	55	0	45	1	42	0	49	0	62	0	43	0	54	1
cell69	0	52	35	19	53	0	38	9	39	0	50	0	47	11	22	16	56	3	53	0
cell70	0	40	40	19	45	0	57	0	69	0	44	0	41	0	46	0	53	0	61	0
cell71	0	61	35	10	50	0	55	0	41	0	55	1	50	4	37	0	56	0	50	0
cell72	10	50	53	1	41	0	53	3	40	1	54	0	44	1	41	0	48	0	45	1
cell73	0	43	31	12	44	0	53	0	50	0	43	1	15	40	64	0	57	0	33	0
cell74	0	60	38	14	58	0	40	14	51	0	51	0	31	8	39	6	47	2	47	0
cell75	0	59	22	31	49	0	45	2	48	0	35	13	34	0	60	0	55	0	47	1
cell76	0	66	21	29	50	0	48	4	49	0	47	10	33	11	48	0	49	1	45	0
cell77	0	57	35	15	45	0	51	0	59	0	44	1	31	17	40	0	47	0	43	4
cell78	0	48	35	21	46	0	44	0	37	0	16	21	40	12	60	0	52	0	49	0
cell79	0	50	40	11	47	0	52	0	49	1	58	0	48	0	38	0	46	0	51	0
cell80	0	44	45	4	61	0	46	0	62	2	54	0	22	21	37	3	63	0	42	0
cell81	0	42	37	21	43	0	54	0	48	0	55	0	42	0	49	0	48	0	47	1
cell82	6	49	42	13	66	0	51	0	47	0	51	0	34	11	26	27	50	0	44	7
cell83	0	49	11	40	48	1	46	0	62	0	43	12	43	3	57	1	55	0	46	0
cell84	0	31	34	3	46	0	51	0	48	0	40	1	41	5	35	1	45	0	52	0
cell85	0	47	25	18	61	0	40	0	58	0	43	1	23	24	57	0	58	0	62	0
cell86	0	54	12	32	41	0	40	0	45	1	37	0	58	1	47	4	41	5	42	19
