	mut15	mut15	mut1	mut1	mut2	mut2	mut3	mut3	mut4	mut4	mut5	mut5	mut6	mut6	mut7	mut7	mut8	mut8	mut9	mut9	mut10	mut10	mut11	mut11	mut12	mut12	mut13	mut13	mut14	mut14
cell1	0	55	43	9	55	0	51	0	52	0	44	0	41	0	52	0	46	6	51	0	59	0	43	0	43	0	41	0	46	0
cell2	0	60	13	29	21	16	19	27	54	4	47	0	70	0	61	0	56	0	71	0	49	0	56	0	49	0	64	0	55	1
cell3	0	66	49	0	40	8	49	0	44	0	15	39	54	0	21	36	59	1	44	0	44	16	49	0	46	0	49	0	44	0
cell4	1	44	47	1	52	0	39	0	58	0	8	50	38	3	56	1	48	0	42	0	47	0	45	15	48	13	43	0	67	0
cell5	0	43	16	29	36	18	50	4	55	0	39	3	42	0	54	6	41	0	43	0	49	0	49	0	53	2	46	1	52	0
cell6	1	54	49	0	45	0	44	1	57	0	19	34	16	38	39	0	49	0	52	0	46	0	57	0	43	0	51	0	30	23
cell7	0	56	25	23	46	1	35	0	54	0	45	0	45	0	48	0	46	0	40	1	47	1	43	0	61	0	31	25	58	4
cell8	0	53	50	0	47	0	40	0	57	0	4	37	28	18	45	3	39	6	37	15	55	0	52	0	47	0	52	0	54	1
cell9	0	53	58	0	46	9	41	4	50	1	10	30	31	23	42	0	44	1	49	1	45	5	19	29	45	0	52	0	51	0
cell10	0	59	9	44	49	1	68	1	36	0	49	0	42	2	36	0	56	0	55	0	38	0	40	0	56	0	33	4	35	0
cell11	0	50	50	2	46	4	52	0	52	0	23	32	49	0	41	0	39	1	40	0	47	0	45	0	40	0	45	0	52	0
cell12	0	48	48	0	41	0	46	0	50	2	4	47	32	11	47	0	40	0	51	0	61	0	38	10	29	17	54	0	49	0
cell13	1	55	54	0	51	0	55	0	44	5	53	4	48	0	56	0	58	0	58	0	45	6	44	0	45	0	52	0	43	0
cell14	6	45	20	41	33	17	64	1	55	1	49	0	59	0	61	0	51	0	50	0	63	0	61	0	27	14	41	0	58	4
cell15	0	59	42	4	44	3	47	0	53	0	10	25	27	27	40	1	45	2	43	0	52	0	52	0	50	0	53	0	30	13
