	mut15	mut15	mut1	mut1	mut2	mut2	mut3	mut3	mut4	mut4	mut5	mut5	mut6	mut6	mut7	mut7	mut8	mut8	mut9	mut9	mut10	mut10	mut11	mut11	mut12	mut12	mut13	mut13	mut14	mut14
cell1	0	49	39	0	57	0	48	0	60	0	47	0	51	0	51	0	51	10	38	0	54	2	48	0	51	0	50	0	49	0
cell2	0	51	17	34	16	25	47	21	28	11	53	0	45	0	45	0	62	0	53	0	65	0	43	0	50	0	46	0	56	1
cell3	0	46	42	0	51	0	50	0	50	0	11	42	20	45	38	1	40	0	50	0	47	7	52	0	60	0	47	0	67	0
cell4	0	54	2	49	19	30	48	8	50	0	58	0	44	0	52	0	42	1	52	0	58	0	48	0	47	0	55	1	55	0
cell5	0	57	9	46	21	21	38	0	48	0	46	0	48	0	63	0	46	0	47	0	41	0	44	0	49	0	44	0	58	0
cell6	1	47	52	0	47	2	56	0	47	0	25	33	34	21	55	0	58	0	48	0	45	0	47	0	35	0	52	0	36	20
cell7	0	48	12	28	47	1	57	0	40	0	45	0	53	1	50	0	46	0	48	0	45	1	55	3	50	0	30	14	54	0
cell8	3	50	62	0	62	0	58	0	64	0	2	45	43	1	31	14	61	0	35	9	48	0	47	0	49	0	44	0	51	0
cell9	0	54	56	0	53	0	47	0	46	0	8	46	26	26	45	0	36	0	56	1	43	0	33	19	61	0	47	0	63	0
cell10	0	57	5	47	42	0	48	0	40	0	49	0	56	0	62	0	54	0	47	0	50	1	44	1	46	0	46	6	41	0
cell11	0	62	55	0	35	0	54	0	46	6	7	38	58	0	56	0	50	3	55	0	59	0	30	0	59	3	46	0	51	0
cell12	0	43	43	7	40	8	50	0	50	0	0	44	20	27	45	0	45	0	56	1	55	0	33	22	42	20	54	0	36	0
cell13	1	47	47	2	49	0	47	0	45	0	55	0	41	0	47	0	55	0	65	0	65	0	54	1	41	0	51	0	34	0
cell14	0	51	37	13	32	16	50	0	64	0	57	0	44	0	52	0	49	2	54	0	52	0	55	0	40	0	45	0	39	0
cell15	0	44	54	0	46	0	58	0	50	0	8	45	14	36	39	0	46	0	52	0	55	0	60	1	50	0	58	0	28	26
cell16	0	56	61	0	54	0	52	0	51	0	4	49	40	8	53	0	38	11	42	0	52	0	52	1	42	0	53	0	51	0
cell17	1	53	51	1	60	2	45	0	51	0	47	0	56	0	51	0	47	5	42	4	59	0	46	0	55	0	44	0	52	0
cell18	0	44	60	0	57	0	38	0	57	1	14	41	54	2	49	0	45	1	49	0	57	0	46	1	44	0	45	0	51	0
cell19	0	45	69	0	47	0	39	0	41	0	8	41	38	9	28	21	45	0	41	3	56	0	55	0	47	0	47	0	44	0
