cell_idx/mut_idx	mut10	mut1	mut2	mut3	mut4	mut5	mut6	mut7	mut8	mut9
cell1	1	0	0	0	0	1	1	0	0	1
cell2	1	1	0	0	0	0	0	0	0	0
cell3	1	0	0	0	0	1	0	0	0	0
cell4	1	1	1	1	1	0	0	0	0	0
cell5	1	0	1	0	0	1	1	0	1	0
cell6	1	0	0	0	0	1	1	1	0	0
cell7	1	1	1	0	1	0	0	1	0	0
cell8	1	0	0	0	0	0	0	0	1	0
cell9	1	0	0	0	0	1	1	0	0	0
cell10	1	1	1	0	1	0	0	0	0	0
cell11	1	0	0	0	0	0	0	0	0	0
cell12	1	1	0	0	0	0	0	0	0	0
cell13	1	1	0	0	0	0	0	0	0	0
cell14	1	1	1	0	1	0	0	0	0	0
cell15	1	1	0	0	0	0	0	0	0	0
cell16	1	0	0	0	0	1	1	0	0	0
cell17	1	0	0	0	1	1	0	0	0	0
cell18	1	0	0	0	0	1	1	0	0	0
cell19	1	0	1	0	0	1	1	0	0	1
cell20	1	1	1	1	1	0	0	0	0	0
cell21	1	1	1	1	0	0	0	0	0	0
cell22	1	0	0	0	0	1	0	0	0	0
cell23	1	1	1	1	0	1	0	0	0	0
cell24	1	0	0	0	1	1	1	1	0	0
cell25	1	0	0	0	0	1	1	0	0	0
cell26	1	1	1	1	1	0	0	0	0	1
cell27	1	1	1	1	0	0	0	0	0	0
cell28	1	0	0	0	0	1	0	0	0	0
cell29	1	1	1	1	0	0	1	0	0	0
cell30	1	0	0	0	0	1	0	0	1	0
cell31	1	1	1	1	0	0	0	0	0	0
cell32	1	0	0	0	1	1	1	1	1	0
cell33	1	0	0	0	0	1	1	0	1	0
cell34	1	0	0	0	0	1	0	0	1	0
cell35	1	1	1	1	1	0	0	0	0	0
cell36	1	0	0	0	0	1	0	0	0	0
cell37	1	0	0	0	0	0	0	0	0	1
cell38	1	1	1	1	0	0	0	0	0	0
cell39	1	0	0	0	0	1	0	0	0	0
cell40	1	0	0	0	0	0	0	0	0	0
cell41	1	0	0	0	0	1	1	1	0	0
cell42	1	0	0	1	0	1	0	0	0	0
cell43	1	1	1	0	0	0	0	0	0	0
cell44	1	1	1	1	1	0	0	0	0	1
cell45	1	0	0	0	0	1	0	1	0	0
cell46	1	1	1	0	0	0	0	0	0	0
cell47	1	1	0	0	0	1	1	1	1	0
cell48	1	1	0	0	0	0	0	0	0	0
cell49	1	0	0	0	0	1	1	0	1	0
cell50	1	0	0	0	0	1	1	0	0	0
