	mut15	mut15	mut1	mut1	mut2	mut2	mut3	mut3	mut4	mut4	mut5	mut5	mut6	mut6	mut7	mut7	mut8	mut8	mut9	mut9	mut10	mut10	mut11	mut11	mut12	mut12	mut13	mut13	mut14	mut14
cell1	0	52	10	26	17	44	46	0	55	0	64	0	42	0	53	11	63	0	50	2	52	0	48	0	53	0	54	0	46	0
cell2	1	49	42	3	48	0	41	0	49	1	48	0	19	27	43	0	67	0	63	0	49	0	37	0	49	0	52	0	70	0
cell3	0	54	49	0	38	1	52	0	52	0	44	0	48	1	38	22	33	7	43	2	36	0	59	0	42	0	44	0	56	0
cell4	0	43	10	41	39	9	46	2	37	8	53	3	40	0	48	0	43	0	47	0	62	0	47	1	51	0	61	1	40	0
cell5	1	56	43	0	51	0	52	1	37	0	38	5	51	1	26	9	65	0	48	0	68	0	48	0	52	0	49	0	56	0
cell6	0	64	7	40	23	25	47	0	33	14	53	0	47	0	52	0	56	0	48	2	57	0	57	6	28	6	40	0	34	6
cell7	0	58	1	47	38	4	50	1	46	1	45	5	62	0	55	0	49	0	38	18	51	11	54	1	60	0	63	0	54	0
cell8	0	57	45	0	44	0	48	0	41	2	47	0	46	2	50	0	45	0	45	0	35	0	50	0	59	0	46	0	65	0
cell9	0	56	49	0	54	1	42	1	57	0	52	0	51	0	46	2	47	1	55	0	56	1	47	2	31	0	36	3	60	1
cell10	0	52	37	18	46	0	49	0	48	0	41	1	43	3	56	0	51	0	62	0	46	0	43	1	49	0	50	0	54	0
cell11	0	51	45	11	47	0	62	0	55	0	42	0	58	0	35	5	55	0	44	3	39	0	44	2	49	1	60	0	47	3
cell12	0	49	8	49	36	16	54	0	44	0	55	0	47	0	48	0	46	0	35	18	45	1	46	0	57	0	46	0	54	0
cell13	0	64	23	19	23	23	44	0	51	1	48	0	46	0	63	0	29	3	47	0	42	0	43	0	51	0	54	0	50	0
cell14	0	40	6	46	34	22	49	0	48	19	58	0	64	0	55	0	44	0	35	0	60	0	53	0	35	0	51	0	55	0
cell15	0	47	50	0	34	0	39	0	39	0	48	1	42	0	18	27	34	14	51	0	55	1	40	0	53	0	37	8	44	1
cell16	0	52	55	0	40	0	46	0	57	0	52	0	55	0	43	0	49	0	43	0	48	0	48	0	54	0	49	1	45	0
cell17	0	46	1	42	36	0	40	0	40	0	49	0	63	0	49	0	39	0	51	0	48	0	52	0	53	0	44	0	54	0
cell18	1	53	24	17	57	0	45	0	41	0	30	33	53	0	47	0	39	2	51	1	46	0	42	0	49	0	54	0	35	0
cell19	0	46	40	6	43	0	45	0	46	0	36	1	24	23	48	2	44	0	58	0	56	0	56	1	54	1	52	0	47	0
cell20	0	48	51	0	60	0	64	0	44	0	56	0	41	3	44	0	44	1	36	1	58	0	56	0	43	0	47	0	42	0
cell21	0	60	56	0	36	0	37	0	39	0	50	2	56	0	6	45	43	9	44	3	50	1	56	0	46	0	47	0	55	0
cell22	0	50	67	1	51	0	72	1	38	0	45	0	1	56	44	0	46	0	50	0	43	0	51	0	42	1	62	0	31	1
cell23	0	58	34	8	41	5	53	0	51	0	51	0	47	0	55	0	48	2	48	0	50	0	51	0	48	0	43	7	52	0
cell24	0	39	9	41	24	42	53	1	41	0	58	0	53	0	49	0	47	0	57	0	35	0	48	0	41	0	53	0	46	0
cell25	0	60	9	43	26	14	41	8	58	0	47	0	51	0	45	0	44	2	48	0	48	0	46	0	51	0	62	0	61	0
cell26	0	43	8	28	62	0	46	0	48	0	45	4	52	0	55	3	44	0	37	8	46	11	56	2	42	10	55	0	52	7
cell27	0	70	7	49	36	8	55	0	42	2	38	13	46	0	59	0	45	0	44	25	22	20	38	1	44	7	41	0	46	0
