	mut15	mut15	mut1	mut1	mut2	mut2	mut3	mut3	mut4	mut4	mut5	mut5	mut6	mut6	mut7	mut7	mut8	mut8	mut9	mut9	mut10	mut10	mut11	mut11	mut12	mut12	mut13	mut13	mut14	mut14
cell1	0	45	63	0	60	0	37	0	44	0	46	0	49	0	54	0	51	0	41	13	62	0	55	0	56	1	60	0	46	0
cell2	4	57	13	45	6	38	45	0	47	0	54	0	57	0	53	0	48	0	47	0	35	3	49	0	47	0	47	0	43	0
cell3	0	55	42	3	41	2	40	13	52	0	48	0	54	0	46	0	53	2	32	14	47	2	46	0	40	0	41	1	45	0
cell4	0	53	4	37	42	7	57	0	28	34	46	0	42	0	49	0	51	0	56	2	55	1	44	0	57	0	38	0	66	0
cell5	0	50	54	2	42	1	47	1	52	0	54	0	41	1	56	0	60	0	54	0	59	0	57	0	47	0	58	0	47	0
cell6	0	48	52	0	60	2	51	1	38	0	59	0	44	0	45	2	61	0	20	20	47	0	57	0	44	8	41	0	38	1
cell7	0	44	3	42	61	3	49	0	20	27	63	0	51	0	52	0	28	25	44	0	40	10	52	0	50	0	49	1	39	0
cell8	0	42	42	18	42	0	48	4	47	0	53	0	50	0	46	0	50	0	42	1	51	0	61	0	50	0	42	0	46	0
cell9	0	61	1	50	56	0	28	23	59	0	29	12	36	15	39	0	64	0	36	2	46	0	40	0	50	0	44	0	60	0
cell10	0	46	2	49	45	0	31	29	52	0	52	0	43	0	51	3	55	0	55	0	47	5	49	0	48	0	58	0	47	0
cell11	0	45	0	56	35	10	48	0	13	32	52	0	59	0	44	2	16	16	60	0	28	20	45	3	49	0	55	4	40	1
cell12	0	36	18	29	40	10	37	6	52	0	60	0	35	0	53	0	42	0	41	0	61	0	41	0	58	0	57	0	49	0
cell13	0	48	5	40	55	0	9	37	48	4	9	41	15	27	21	24	43	0	42	0	47	3	54	0	60	0	65	0	50	0
cell14	0	50	5	37	52	10	49	0	18	29	40	3	45	0	52	0	39	12	58	0	60	1	49	0	45	2	59	0	50	0
cell15	0	59	1	44	47	1	48	0	2	40	57	2	43	0	46	3	28	23	47	0	47	3	47	0	59	0	54	0	39	0
cell16	0	51	27	16	43	0	18	28	51	4	36	9	48	0	45	0	61	0	52	0	65	0	51	0	46	0	35	0	53	0
cell17	0	53	30	26	41	6	45	0	53	0	52	1	45	0	53	0	43	2	54	0	51	0	52	0	53	0	66	2	44	4
cell18	0	54	4	39	55	0	7	42	50	0	22	25	18	26	45	5	50	6	50	0	38	0	47	7	44	0	65	0	48	1
cell19	0	41	10	35	26	29	53	0	42	8	50	0	47	0	59	0	60	0	51	0	43	1	48	0	46	6	40	0	54	0
cell20	0	59	19	33	57	3	24	34	58	1	29	27	21	15	43	2	45	0	51	0	44	0	46	0	59	0	49	0	58	5
cell21	0	43	53	0	42	0	58	0	50	0	52	0	44	1	43	0	46	0	36	11	55	0	41	0	39	3	44	0	50	0
cell22	0	43	54	0	45	0	45	0	46	3	40	0	51	0	54	1	40	0	20	21	29	0	46	0	24	30	40	0	51	0
cell23	0	40	24	25	54	1	57	10	45	0	50	0	40	1	51	0	57	0	43	0	65	0	49	2	62	0	50	0	53	0
cell24	0	52	5	43	47	1	41	0	21	28	44	0	54	2	63	0	32	22	57	0	29	17	47	2	59	0	60	0	50	0
cell25	0	44	45	0	41	0	51	0	45	0	47	0	44	0	42	0	60	4	8	51	49	0	45	1	47	1	49	0	67	1
cell26	0	50	46	0	58	0	41	0	54	0	51	0	54	0	46	0	53	1	52	0	53	0	51	0	72	1	41	0	50	0
cell27	1	64	21	23	60	0	50	0	27	21	40	0	48	0	43	2	49	2	57	2	45	3	43	0	57	0	45	0	53	0
cell28	0	43	6	49	38	15	52	0	29	20	53	0	61	1	49	0	19	32	44	0	50	16	41	13	41	0	41	1	49	0
cell29	0	46	10	39	51	2	37	0	31	20	54	0	51	0	52	4	27	13	53	3	30	13	47	2	43	0	38	0	51	1
cell30	0	62	5	45	27	17	53	0	34	12	66	1	56	0	51	0	48	3	49	0	54	0	44	0	51	0	49	7	55	0
cell31	0	47	11	29	53	7	42	0	8	43	44	0	48	1	49	1	40	18	59	0	47	7	49	0	50	0	42	0	48	0
cell32	2	45	54	0	41	0	55	0	53	0	47	0	46	0	48	0	57	0	13	40	53	0	52	0	33	22	54	0	51	2
cell33	0	56	52	0	49	1	49	0	48	0	49	6	54	0	49	0	57	0	55	0	56	0	44	1	52	0	41	0	53	0
cell34	0	47	0	53	33	10	49	2	8	43	40	0	49	0	42	0	22	34	54	0	25	19	42	0	44	0	48	6	38	0
cell35	1	58	4	31	31	28	64	4	52	10	44	1	46	0	56	0	54	0	51	1	53	0	60	0	45	0	48	0	51	0
cell36	0	48	2	53	48	10	53	0	22	32	48	0	52	2	48	0	36	6	47	0	36	19	46	2	54	0	38	8	62	0
cell37	0	53	2	47	53	0	9	38	53	0	47	3	57	0	54	0	39	0	56	0	45	0	47	0	48	0	33	0	57	0
cell38	0	53	1	40	16	37	40	0	54	0	45	0	45	7	40	1	50	0	56	0	43	0	43	0	51	0	51	0	67	0
cell39	1	56	16	28	48	4	30	20	51	4	38	13	46	0	60	0	56	3	52	0	51	0	50	0	55	0	52	0	49	1
cell40	5	53	5	40	63	0	11	34	50	3	48	0	48	0	53	0	50	0	51	0	66	0	57	1	29	0	40	0	46	0
cell41	4	59	23	34	42	0	15	33	61	0	21	37	43	20	48	0	63	0	45	0	55	0	46	0	48	0	55	0	69	0
cell42	0	49	32	12	42	6	55	0	51	0	41	0	54	0	39	0	37	0	51	0	37	3	59	0	44	2	50	0	53	0
cell43	1	54	9	43	31	16	61	0	24	25	46	1	48	0	49	0	38	0	55	0	60	0	46	1	55	0	44	0	43	1
cell44	0	47	13	49	48	0	27	31	57	0	41	3	43	0	46	0	38	0	43	8	40	0	54	0	63	0	56	0	52	0
cell45	0	53	16	45	53	15	72	0	18	37	67	2	42	0	49	0	51	3	58	0	58	0	51	1	46	0	46	0	45	0
cell46	4	48	29	15	43	0	26	28	47	0	27	11	52	1	64	0	56	0	56	0	46	0	48	0	65	0	57	0	51	0
cell47	0	56	5	39	50	0	12	34	49	0	18	14	38	6	54	0	59	0	55	0	56	0	52	1	43	0	55	0	38	0
cell48	0	43	16	49	43	3	47	1	8	35	57	8	66	0	55	0	11	29	49	0	23	29	61	0	45	2	52	0	51	0
cell49	0	45	57	0	50	0	60	0	53	0	41	0	55	1	60	0	50	0	34	2	38	0	55	0	44	7	63	0	54	0
cell50	3	47	57	0	56	0	56	2	44	0	45	1	47	4	50	0	51	0	3	45	36	2	51	0	44	2	49	0	49	0
cell51	0	49	4	61	56	0	56	0	4	50	53	2	57	0	42	0	27	27	49	0	44	9	32	26	51	0	43	8	50	0
cell52	0	45	1	41	37	6	58	0	17	35	61	0	50	1	56	0	17	32	57	3	27	15	58	0	51	3	49	1	47	0
cell53	1	53	65	1	48	0	60	0	52	5	53	2	45	0	45	0	54	0	57	0	42	6	40	0	53	0	41	0	43	2
cell54	0	58	45	5	52	2	54	0	51	0	52	0	44	0	49	0	45	3	24	27	36	0	57	0	30	35	50	3	51	0
cell55	0	57	19	28	47	0	25	25	60	0	38	0	47	0	49	0	44	0	42	0	45	1	49	0	54	0	62	0	50	0
cell56	0	62	34	0	43	0	36	1	45	0	41	0	48	12	49	0	61	0	32	19	47	0	35	0	45	1	51	0	29	0
