	mut15	mut15	mut1	mut1	mut2	mut2	mut3	mut3	mut4	mut4	mut5	mut5	mut6	mut6	mut7	mut7	mut8	mut8	mut9	mut9	mut10	mut10	mut11	mut11	mut12	mut12	mut13	mut13	mut14	mut14
cell1	0	56	25	27	56	0	57	0	32	13	59	0	63	0	57	0	54	0	48	0	39	4	50	1	46	0	53	0	44	0
cell2	0	51	55	0	19	33	57	0	64	1	44	3	62	0	45	0	41	8	39	0	56	0	40	7	41	6	57	0	54	0
cell3	1	45	37	0	42	1	54	0	48	1	25	17	46	0	43	13	38	1	53	0	46	0	41	1	55	0	48	0	52	0
cell4	0	53	2	36	43	0	27	27	51	0	50	0	48	0	39	7	41	0	47	0	55	0	54	0	52	0	62	0	47	0
cell5	0	53	46	1	50	7	48	1	62	0	29	20	55	0	43	2	45	7	41	0	59	2	47	1	51	0	54	0	47	0
cell6	0	47	50	0	37	3	45	0	64	0	31	22	55	0	38	0	37	1	34	3	57	0	59	2	56	0	51	0	56	0
cell7	0	36	40	0	47	0	47	0	64	0	47	0	55	0	44	0	59	0	55	0	49	0	44	2	49	0	54	1	42	0
cell8	0	55	20	20	54	0	50	0	47	0	52	0	36	0	44	0	42	0	42	0	44	0	55	0	60	0	33	0	42	0
cell9	0	62	0	44	35	0	44	2	13	35	55	0	57	0	52	0	50	0	42	0	49	5	52	1	46	2	46	0	59	0
cell10	2	57	12	33	55	0	34	2	42	3	51	0	54	0	53	0	52	0	57	0	35	0	50	0	50	0	48	0	47	0
cell11	0	44	0	48	53	0	14	49	47	0	44	0	58	0	44	0	52	0	51	0	46	2	49	0	45	0	51	0	51	0
cell12	0	46	34	13	51	0	42	1	47	1	65	4	46	1	53	0	52	0	60	0	46	0	41	0	50	0	44	2	53	0
cell13	0	56	45	0	45	13	49	0	31	0	40	4	55	0	53	6	28	16	53	1	39	0	54	0	37	2	49	0	39	4
cell14	3	45	19	27	49	0	42	1	57	0	47	0	59	0	50	0	48	0	35	0	44	0	49	1	60	0	65	0	53	0
cell15	0	48	42	0	57	5	60	0	49	0	30	13	39	0	41	2	40	5	54	0	50	0	44	0	49	0	49	1	47	0
cell16	0	49	25	26	50	0	59	3	60	1	42	0	49	3	46	0	52	0	43	2	54	0	44	0	50	0	38	0	53	0
cell17	0	55	13	30	61	0	45	1	42	7	46	0	49	0	57	0	33	0	58	0	64	0	49	0	67	0	53	0	49	0
cell18	1	39	42	0	44	8	45	4	52	0	24	19	48	0	50	3	55	1	42	0	47	0	52	2	40	0	52	0	15	38
cell19	1	45	19	21	48	0	45	0	45	3	47	0	70	0	52	0	44	0	52	0	41	0	53	2	52	0	62	0	44	0
cell20	0	64	46	0	46	6	47	0	51	0	10	40	46	2	47	0	53	0	52	0	52	1	42	1	54	0	48	0	60	0
cell21	0	49	45	0	50	2	39	1	45	0	33	21	39	0	58	0	47	6	32	22	56	0	42	5	57	0	42	0	55	0
cell22	0	47	60	0	45	0	62	2	47	0	46	0	54	1	44	0	53	0	52	0	44	1	50	0	46	1	52	0	45	0
cell23	0	45	49	3	42	7	46	0	46	2	22	22	54	1	51	0	27	20	61	0	46	2	41	2	64	0	46	0	38	12
cell24	0	58	22	34	52	0	59	0	27	17	51	0	46	0	50	0	48	0	52	0	50	1	50	2	41	0	46	0	53	0
cell25	0	47	20	10	41	0	35	15	48	1	56	0	43	0	29	0	47	0	53	0	51	0	45	0	56	0	44	0	50	0
cell26	0	51	57	0	37	2	43	0	38	0	27	22	48	0	51	0	28	17	25	23	62	0	47	5	51	0	49	0	49	0
cell27	1	35	39	19	51	1	50	0	46	0	62	0	53	0	52	0	54	0	55	0	44	2	48	0	54	0	65	0	48	5
cell28	0	50	20	19	48	0	39	0	17	20	52	0	34	10	49	0	40	0	50	0	34	19	44	0	44	1	49	4	48	0
cell29	0	47	53	0	14	27	38	0	51	2	40	0	44	0	49	0	42	0	64	0	48	0	46	1	54	0	37	0	39	1
cell30	0	61	52	7	51	0	36	0	39	7	44	0	48	1	52	0	53	0	50	0	60	0	56	0	45	0	52	0	44	0
cell31	0	53	13	30	56	0	22	27	59	1	44	0	53	0	48	1	54	0	48	0	43	0	61	0	51	1	58	0	53	0
cell32	0	52	54	0	46	1	36	0	48	0	15	28	44	0	56	0	45	1	15	40	55	0	49	0	64	0	50	0	53	2
cell33	0	46	51	0	44	8	58	0	48	0	43	19	51	0	46	0	48	1	57	0	44	1	52	0	65	0	44	0	58	1
cell34	0	48	13	49	41	0	50	1	31	16	48	0	53	0	56	0	65	0	65	0	66	0	60	0	50	0	43	1	47	3
cell35	1	45	17	30	58	0	44	3	60	0	50	0	34	0	56	0	54	2	41	0	36	3	52	0	55	0	48	0	55	0
cell36	0	54	49	2	48	0	45	0	41	0	54	0	47	0	45	0	38	1	52	0	54	0	57	0	45	0	54	0	43	0
cell37	0	45	16	22	52	0	55	0	25	22	58	0	57	0	47	0	40	0	61	0	54	3	49	2	54	1	61	3	40	12
cell38	2	43	58	0	41	0	44	0	45	2	50	0	39	0	54	0	60	0	57	0	42	0	58	0	54	0	40	0	60	0
cell39	0	47	52	0	43	12	42	0	55	0	36	10	43	7	42	8	47	11	51	0	49	0	42	0	55	0	52	0	41	0
cell40	1	63	46	0	34	13	37	0	55	0	13	28	41	0	41	1	45	0	47	0	53	0	49	0	51	0	52	0	45	1
cell41	0	47	49	1	71	1	47	0	44	0	26	41	52	0	19	31	41	1	39	3	58	0	31	1	56	0	52	0	50	0
cell42	0	49	45	0	10	32	44	0	36	0	60	0	41	1	37	4	58	0	55	0	43	0	43	0	48	1	57	0	61	0
cell43	1	49	55	0	48	4	48	0	49	0	15	33	45	0	45	0	43	0	34	16	45	0	35	12	38	0	62	0	47	0
cell44	0	43	37	0	7	43	57	0	40	1	49	1	48	0	45	1	49	0	42	0	66	0	47	0	50	0	57	0	47	0
cell45	0	44	14	30	50	0	35	0	57	0	60	2	23	22	40	1	48	0	60	0	51	0	46	0	48	4	38	0	57	0
cell46	0	43	42	0	50	0	60	0	47	0	47	0	60	0	47	0	51	0	57	2	56	0	47	0	48	2	46	0	55	0
cell47	0	44	18	31	46	0	52	1	36	7	42	1	51	0	45	5	55	0	42	0	51	1	62	0	45	4	48	0	58	0
cell48	0	49	50	0	59	0	56	0	66	0	32	0	47	2	56	0	53	0	60	1	50	0	52	0	57	0	41	0	42	0
cell49	0	60	8	42	49	0	25	5	58	0	60	0	56	0	46	0	52	2	45	0	43	0	39	0	63	0	45	0	41	0
cell50	0	44	31	9	49	0	42	2	51	0	42	0	48	0	46	0	51	0	45	0	47	1	43	0	51	0	51	0	58	0
cell51	1	48	49	0	41	28	45	0	40	0	27	18	54	0	45	0	40	12	45	4	52	0	37	0	54	4	46	0	50	5
cell52	0	45	29	0	13	37	62	0	54	0	29	26	49	0	51	1	25	8	43	0	49	0	37	5	62	0	41	4	37	3
cell53	2	44	66	0	10	39	62	0	46	0	20	21	47	0	46	0	42	3	42	0	42	1	45	3	65	0	57	0	44	12
cell54	0	45	12	34	44	0	42	1	16	31	52	0	53	0	50	0	50	2	63	0	46	0	47	0	38	0	49	3	44	0
cell55	0	58	46	0	46	0	43	1	35	3	53	0	54	0	56	0	50	0	53	0	53	0	59	0	41	0	44	0	58	0
cell56	0	51	19	28	48	0	57	0	18	27	68	0	45	0	45	0	52	0	57	0	27	25	56	0	55	0	32	11	53	0
cell57	0	49	44	0	43	7	48	2	33	0	44	17	59	0	55	4	54	2	54	0	50	0	53	0	51	0	50	0	33	0
cell58	0	36	42	0	45	1	47	0	55	0	23	41	64	0	42	2	37	14	47	0	52	0	41	0	46	0	53	0	25	20
cell59	2	51	35	14	49	0	50	0	55	0	51	0	46	0	52	1	65	1	56	0	47	1	60	0	52	1	59	0	46	1
cell60	0	46	51	0	33	24	55	0	45	0	26	12	54	1	52	0	46	0	55	0	52	0	51	0	60	0	54	0	50	0
cell61	0	56	56	0	41	0	48	0	39	0	21	26	58	0	38	0	57	3	49	0	61	0	51	0	43	0	53	0	47	0
cell62	0	53	51	0	46	11	52	0	51	0	60	0	36	8	38	0	43	0	57	1	51	6	46	1	50	0	49	0	39	0
cell63	2	46	19	35	47	0	56	1	57	1	53	0	47	0	48	0	54	0	41	0	48	0	56	0	60	1	50	0	42	2
cell64	0	49	4	33	57	0	45	0	17	21	46	0	46	0	60	0	46	0	37	0	40	22	46	1	53	2	53	0	53	0
cell65	1	52	3	31	38	1	49	0	24	34	47	1	51	3	44	0	45	1	46	8	26	12	45	0	39	2	69	0	61	0
cell66	0	52	3	40	43	1	32	9	44	5	42	0	46	0	43	0	38	0	45	0	50	0	48	0	45	0	52	0	45	0
cell67	0	57	44	0	58	2	48	3	39	0	11	41	39	0	54	0	23	31	25	18	54	1	43	10	61	0	37	0	53	0
cell68	1	43	50	0	0	47	55	0	36	0	45	0	53	0	47	0	60	1	56	0	40	3	39	0	54	0	56	0	58	0
cell69	2	43	52	0	51	0	44	0	52	0	50	0	51	0	46	0	52	0	51	0	42	1	46	0	40	0	43	0	66	0
cell70	5	44	45	3	34	10	48	0	47	0	22	30	40	0	47	0	48	4	55	0	56	0	35	3	29	29	44	0	62	0
cell71	0	36	45	2	46	12	51	0	53	1	16	33	53	0	50	0	53	3	45	7	56	0	56	1	52	0	54	0	45	13
