	mut5	mut5	mut1	mut1	mut2	mut2	mut3	mut3	mut4	mut4
cell1	0	43	34	17	28	10	41	5	20	10
cell2	0	57	39	16	37	12	46	6	39	10
cell3	1	39	38	18	31	11	27	23	52	0
cell4	1	42	24	23	52	0	48	1	44	0
cell5	0	63	22	39	54	0	48	0	46	0
cell6	0	54	47	0	38	2	51	0	36	1
cell7	0	52	11	37	7	34	46	6	49	0
cell8	0	48	33	7	46	0	25	18	40	0
cell9	0	48	18	30	29	25	52	1	46	4
cell10	0	39	39	0	45	0	50	0	41	0
cell11	0	47	18	40	49	0	48	2	60	0
cell12	0	53	46	0	51	0	61	0	42	0
cell13	0	66	25	19	27	28	18	15	38	16
cell14	0	44	15	28	37	16	21	23	37	15
cell15	0	44	26	21	52	10	8	25	62	0
cell16	0	42	46	6	44	1	42	0	48	0
cell17	1	43	55	0	48	0	56	0	56	0
cell18	0	44	25	29	21	33	38	13	42	0
cell19	1	47	34	23	41	0	39	9	51	2
cell20	0	52	30	12	47	6	28	19	33	18
cell21	0	53	12	35	46	0	42	0	35	0
cell22	0	39	29	24	28	19	45	1	54	0
cell23	0	52	37	15	45	1	52	0	39	0
cell24	0	55	58	0	50	0	49	0	59	0
cell25	2	55	30	25	44	1	12	34	43	15
cell26	0	51	12	43	42	1	28	17	50	0
cell27	0	47	34	8	41	0	35	28	58	0
cell28	0	39	41	10	41	10	26	32	58	2
cell29	0	53	10	41	17	36	40	8	47	8
cell30	0	46	40	0	44	0	49	2	50	1
cell31	1	46	0	38	46	0	48	1	52	0
cell32	0	42	29	18	43	0	47	5	56	0
cell33	3	43	18	43	37	15	15	29	41	7
cell34	0	47	50	3	41	0	25	18	53	0
cell35	0	56	72	0	32	20	49	0	52	0
cell36	0	47	11	32	32	14	45	8	60	0
cell37	0	64	38	26	47	1	15	32	30	16
cell38	0	54	14	36	48	0	45	0	52	0
cell39	0	55	42	0	64	0	50	0	53	0
cell40	0	57	22	27	38	21	45	10	51	0
cell41	0	54	42	6	51	0	50	4	45	4
cell42	0	45	36	0	60	0	48	1	49	2
cell43	0	49	32	23	48	0	41	0	40	0
cell44	0	59	52	0	45	0	60	0	55	0
cell45	0	47	35	13	52	0	19	38	39	5
cell46	0	56	11	48	49	0	51	0	48	0
cell47	0	49	27	22	57	0	35	11	37	0
cell48	0	51	16	25	36	0	29	17	43	2
cell49	0	49	26	25	22	17	36	10	40	5
cell50	0	58	47	0	38	0	46	0	52	0
cell51	0	45	46	0	50	1	63	0	40	0
cell52	0	50	13	43	29	10	32	21	44	0
cell53	0	47	29	17	48	0	59	0	62	0
cell54	0	50	60	1	47	0	43	0	54	0
cell55	0	45	13	35	41	10	51	0	53	0
cell56	0	46	40	2	49	0	29	21	55	0
cell57	0	56	28	3	43	0	26	23	40	0
cell58	0	47	59	0	51	0	40	0	40	0
cell59	0	57	39	6	47	0	50	5	44	1
cell60	2	45	28	27	44	0	48	0	48	0
cell61	0	49	55	9	46	0	60	0	58	1
cell62	0	67	25	19	26	24	43	6	47	12
cell63	2	47	41	18	68	0	40	6	43	0
cell64	0	60	44	14	49	2	24	30	26	21
cell65	4	55	36	11	52	3	21	20	54	7
cell66	0	53	23	36	43	3	50	9	55	0
cell67	0	46	41	4	52	5	8	36	48	13
cell68	0	61	34	19	54	2	31	14	56	0
cell69	0	44	26	15	57	0	47	3	58	0
cell70	0	40	39	14	46	4	12	25	65	0
cell71	0	49	37	11	30	16	14	29	15	39
cell72	0	44	0	60	54	0	52	0	42	2
cell73	0	54	46	0	49	0	48	0	41	0
cell74	0	47	20	34	44	0	55	2	52	0
cell75	0	54	43	2	43	0	72	3	52	0
cell76	0	64	35	17	42	5	22	31	56	0
cell77	0	64	45	0	43	1	55	1	49	2
cell78	0	56	38	4	55	0	17	27	50	3
cell79	0	56	30	14	41	0	55	0	62	0
cell80	0	54	46	6	62	0	44	0	39	4
cell81	0	56	36	0	44	0	68	0	47	0
cell82	0	66	28	22	31	8	24	19	40	12
cell83	0	55	16	25	43	0	60	0	50	0
cell84	0	42	16	32	53	0	52	0	52	0
cell85	0	49	14	40	59	2	52	0	51	0
cell86	2	52	33	35	11	33	61	3	52	0
cell87	0	39	11	37	48	0	58	0	51	0
cell88	0	57	25	26	43	1	35	0	50	0
cell89	0	42	51	1	54	0	61	0	48	0
cell90	0	43	52	4	53	1	54	0	51	0
cell91	0	49	26	17	29	17	33	17	41	4
cell92	0	56	17	32	46	0	44	4	53	0
cell93	2	46	47	5	46	0	46	5	40	2
cell94	1	52	30	19	43	1	39	9	39	6
cell95	0	53	6	45	34	0	50	2	47	3
cell96	2	61	45	0	52	0	50	0	63	0
cell97	0	45	47	8	44	1	34	13	37	0
cell98	0	48	36	10	53	0	42	2	70	1
cell99	1	50	44	5	45	9	22	21	39	1
cell100	0	55	42	10	53	2	41	0	59	1
cell101	0	36	35	0	50	0	50	0	36	1
cell102	1	49	20	31	23	35	38	2	68	0
cell103	0	53	25	7	39	12	24	17	51	0
cell104	0	50	21	33	30	25	28	15	28	12
cell105	0	52	21	36	36	15	29	8	40	1
cell106	0	58	28	16	51	1	23	28	36	0
cell107	0	64	54	0	39	0	40	0	65	0
cell108	0	69	49	0	31	0	19	37	54	0
