	mut15	mut15	mut1	mut1	mut2	mut2	mut3	mut3	mut4	mut4	mut5	mut5	mut6	mut6	mut7	mut7	mut8	mut8	mut9	mut9	mut10	mut10	mut11	mut11	mut12	mut12	mut13	mut13	mut14	mut14
cell1	0	45	40	2	48	0	34	1	52	0	36	0	38	8	52	0	51	0	40	0	58	0	56	0	50	0	46	7	46	1
cell2	0	44	31	7	57	0	23	30	25	26	24	20	66	0	42	7	59	1	45	0	48	0	49	0	46	0	40	9	50	3
cell3	0	52	30	13	54	0	35	12	22	30	40	3	58	0	40	3	51	0	48	0	51	0	53	0	72	0	56	3	59	0
cell4	0	44	33	17	58	0	36	25	44	2	56	0	48	0	36	0	56	0	57	4	46	1	55	0	56	0	42	14	38	0
cell5	0	57	43	8	50	0	29	19	39	18	45	0	49	0	53	5	44	0	51	0	52	1	43	0	47	0	46	8	49	1
cell6	0	57	24	31	55	6	37	9	42	0	51	1	35	0	58	0	37	15	49	0	52	1	49	0	51	0	42	2	44	0
cell7	0	53	19	22	52	0	39	24	46	23	38	17	47	0	43	8	39	2	58	1	55	0	39	0	56	0	34	14	54	0
cell8	0	47	23	26	56	0	44	0	51	0	50	0	63	0	46	0	50	0	66	0	54	0	59	0	50	0	45	0	52	0
cell9	0	65	45	2	53	0	10	39	25	25	38	4	43	3	49	1	36	0	49	0	42	0	45	4	52	0	47	0	48	0
cell10	0	37	31	16	45	0	27	19	53	0	54	0	49	0	50	0	49	1	64	0	54	0	40	6	46	0	47	0	64	0
cell11	0	58	14	42	42	0	53	1	44	0	47	5	39	0	54	0	47	2	48	0	42	1	52	0	57	1	53	0	62	0
cell12	0	43	57	1	56	0	53	0	56	1	36	2	52	1	52	1	44	0	46	0	52	1	53	0	34	0	54	0	52	0
cell13	0	37	55	0	54	1	42	0	60	0	60	1	10	32	50	0	50	0	41	0	54	0	57	0	59	0	49	0	46	0
cell14	0	65	55	1	58	0	49	0	44	0	45	0	39	3	39	7	58	0	59	0	30	0	40	6	45	8	60	0	47	0
cell15	0	43	37	10	47	0	28	33	46	5	45	9	46	0	45	0	60	0	42	0	51	0	35	0	46	0	51	2	56	0
cell16	0	48	26	18	40	1	43	1	46	0	34	3	41	0	51	0	45	0	38	0	32	0	56	0	43	0	36	28	42	3
cell17	0	55	21	26	41	10	45	15	64	0	45	1	40	9	57	0	56	2	55	0	43	0	52	0	51	0	55	0	47	0
cell18	0	61	25	14	52	0	17	26	32	14	65	0	54	0	44	0	38	0	49	0	52	1	56	0	56	0	35	24	42	0
cell19	0	50	42	12	51	0	16	47	73	0	39	0	55	0	43	2	53	2	42	15	44	0	72	0	50	0	36	3	48	0
cell20	0	65	20	13	61	1	34	20	58	0	47	0	60	1	45	0	42	0	53	0	53	0	56	0	50	0	55	0	36	0
cell21	0	45	54	0	55	0	36	3	47	0	44	0	22	25	49	1	45	0	57	1	60	0	46	0	48	0	44	0	59	0
cell22	0	58	6	56	33	12	45	6	58	0	54	0	45	0	41	10	59	0	49	0	47	0	43	0	33	3	57	0	55	0
cell23	0	37	38	1	45	10	34	2	37	0	47	1	41	1	55	0	32	0	55	1	36	0	58	0	51	0	51	0	38	0
cell24	0	52	46	6	44	0	15	33	40	20	29	21	56	0	42	1	48	0	54	0	53	0	50	1	39	7	37	5	52	15
cell25	0	61	22	28	54	0	48	16	47	11	45	2	42	0	34	21	51	0	40	0	66	0	58	1	42	3	23	19	46	4
cell26	0	31	9	41	49	0	45	0	48	0	49	0	43	0	52	0	53	0	49	0	41	0	51	0	52	0	55	0	46	1
cell27	3	50	39	4	57	0	36	14	47	0	51	0	53	0	47	0	48	0	19	14	48	10	43	7	44	0	39	2	46	0
cell28	0	46	52	0	43	0	41	1	51	0	55	0	51	0	51	1	56	0	54	1	50	0	35	2	45	0	46	0	55	0
cell29	0	54	28	15	42	5	25	10	56	4	44	2	50	3	53	0	40	0	52	0	52	0	49	0	49	0	50	5	46	5
cell30	0	52	32	10	47	0	53	0	48	0	43	0	49	0	65	0	51	0	48	0	41	0	53	0	39	0	36	0	49	0
cell31	0	39	38	19	41	0	22	33	35	9	52	8	52	0	58	0	50	0	49	0	53	0	53	0	46	0	49	5	47	0
cell32	0	44	19	36	46	3	38	0	54	0	46	2	48	0	54	0	53	0	51	0	36	1	33	6	60	0	45	0	47	0
cell33	2	47	22	20	53	0	37	17	60	0	58	0	42	0	52	0	37	1	61	0	50	0	53	0	46	0	32	11	47	0
cell34	0	46	52	6	51	9	38	8	46	0	42	0	56	0	39	0	44	0	44	0	60	0	50	0	52	0	54	3	59	0
