	mut15	mut15	mut1	mut1	mut2	mut2	mut3	mut3	mut4	mut4	mut5	mut5	mut6	mut6	mut7	mut7	mut8	mut8	mut9	mut9	mut10	mut10	mut11	mut11	mut12	mut12	mut13	mut13	mut14	mut14
cell1	0	51	42	4	44	0	36	0	44	1	42	0	44	4	50	0	52	0	31	30	49	0	34	2	58	0	58	0	51	0
cell2	0	39	15	40	49	1	39	10	42	0	41	10	47	0	50	0	54	0	29	19	56	0	46	1	58	0	61	0	39	19
cell3	0	52	16	30	38	0	56	0	53	0	50	0	45	0	47	0	55	0	39	13	46	4	50	0	49	0	52	0	43	0
cell4	0	57	21	27	50	6	28	12	48	7	51	0	59	1	44	0	37	0	39	11	49	0	60	0	39	0	52	9	42	3
cell5	0	40	14	50	36	0	41	4	14	30	35	3	56	0	34	0	12	37	37	3	19	31	44	4	54	0	48	0	43	0
cell6	0	55	25	25	24	14	49	2	50	0	53	0	53	1	48	0	52	0	39	4	49	0	52	0	49	1	62	0	41	0
cell7	0	42	20	39	52	0	50	2	17	23	53	0	48	0	53	9	46	6	35	7	43	1	53	0	46	1	47	0	51	0
cell8	0	51	8	43	40	9	20	30	58	1	31	22	47	0	46	0	57	0	27	18	50	0	43	0	55	0	49	0	34	4
cell9	0	43	13	44	51	3	12	22	54	0	30	32	43	0	49	0	40	0	66	5	55	3	45	1	46	0	33	1	38	4
cell10	0	36	8	37	20	29	40	14	46	0	51	0	48	0	38	1	58	3	43	5	34	0	48	0	42	0	47	0	53	0
cell11	0	42	32	15	30	23	46	4	45	0	46	0	59	0	35	0	58	0	11	36	51	0	49	0	41	0	52	0	53	0
cell12	0	46	63	1	52	1	46	0	46	0	48	0	52	1	58	0	51	0	55	0	58	0	52	0	47	0	51	0	60	0
cell13	1	45	44	12	45	0	49	1	53	0	43	0	37	5	46	3	48	0	46	0	55	2	35	0	47	0	41	0	46	0
cell14	3	45	13	43	41	0	52	0	8	46	61	0	38	0	49	0	42	11	33	14	28	5	31	0	47	0	65	0	50	0
cell15	0	43	13	53	47	0	49	0	14	25	41	0	52	0	31	3	44	16	43	2	59	2	51	0	49	1	51	0	41	0
cell16	0	46	30	22	54	7	17	24	39	26	39	13	37	26	30	16	46	0	58	1	50	0	49	0	46	3	50	0	63	1
cell17	0	46	6	43	41	14	30	22	65	0	26	16	53	0	50	0	32	0	44	6	51	0	52	0	52	0	44	0	54	0
cell18	0	64	32	28	47	0	49	1	42	9	45	0	48	0	50	0	49	0	42	4	42	0	63	0	59	0	47	4	45	0
cell19	0	48	11	42	66	0	46	0	16	38	46	0	36	0	46	0	30	21	32	15	54	1	49	1	47	0	42	0	48	0
cell20	0	59	6	46	45	0	13	41	53	0	14	35	20	28	39	2	37	1	50	1	37	0	48	0	57	0	40	0	56	0
cell21	0	51	26	24	48	1	61	0	43	0	43	0	53	0	62	0	42	0	53	6	58	0	58	0	52	0	64	0	41	0
cell22	0	45	31	23	48	0	58	0	55	0	52	0	53	0	60	0	42	2	58	4	57	0	52	0	53	0	48	0	51	0
cell23	0	55	11	35	33	5	29	20	50	2	23	16	52	0	53	0	61	1	47	2	40	0	62	0	42	8	45	4	52	8
cell24	0	44	2	51	56	0	59	1	13	34	52	0	47	0	45	0	54	4	33	14	50	1	46	0	50	0	57	0	47	0
cell25	0	57	26	22	41	11	35	14	41	0	43	1	40	0	39	0	52	0	44	13	51	0	54	0	43	6	48	0	40	1
cell26	0	55	62	0	47	5	44	0	46	0	40	0	41	0	41	0	43	2	50	1	50	0	57	0	52	0	39	1	42	0
cell27	0	47	20	29	53	6	41	12	48	1	33	13	40	0	46	4	46	0	38	10	52	0	51	0	55	0	58	0	57	0
cell28	0	65	18	24	46	0	20	24	50	0	31	17	27	12	46	0	54	0	47	1	58	5	59	0	50	0	51	0	46	0
cell29	0	42	11	40	48	0	42	1	17	21	56	0	52	1	49	0	10	43	46	4	23	27	38	8	53	0	39	28	54	0
cell30	0	54	13	31	47	0	53	0	40	15	48	0	49	0	46	0	56	6	16	35	53	1	55	2	43	0	53	0	55	0
cell31	0	50	60	6	51	0	51	0	42	1	57	0	58	0	49	5	45	0	36	7	58	0	58	0	52	0	60	3	54	0
cell32	0	74	26	23	28	17	30	22	51	0	58	3	57	5	51	0	39	0	45	8	60	0	64	0	45	1	47	0	49	2
cell33	7	54	50	0	46	0	52	2	52	7	53	0	47	0	46	0	60	0	46	0	59	0	53	0	50	0	45	0	51	2
cell34	0	66	13	36	57	1	50	0	13	32	41	0	62	0	51	1	25	23	42	9	36	27	47	2	50	4	28	21	47	0
cell35	0	52	36	7	49	1	50	0	62	0	40	6	47	0	49	0	61	0	42	8	59	0	47	0	31	8	52	0	45	0
cell36	1	46	30	27	33	9	52	1	43	0	51	0	57	0	41	0	45	0	40	14	57	0	43	3	34	2	47	0	47	0
cell37	0	37	18	38	41	4	36	7	37	0	40	5	46	0	47	0	46	0	42	12	44	0	52	0	43	0	52	0	58	0
