	mut15	mut15	mut1	mut1	mut2	mut2	mut3	mut3	mut4	mut4	mut5	mut5	mut6	mut6	mut7	mut7	mut8	mut8	mut9	mut9	mut10	mut10	mut11	mut11	mut12	mut12	mut13	mut13	mut14	mut14
cell1	0	45	60	0	52	0	50	0	54	0	42	0	40	0	51	0	62	0	52	0	41	0	42	0	46	0	47	0	60	0
cell2	0	70	3	42	23	23	30	27	50	4	55	1	43	0	44	0	49	0	54	0	48	0	42	7	50	1	32	10	52	4
cell3	0	41	45	0	50	0	60	0	51	2	0	62	30	15	30	23	45	1	45	1	38	26	52	0	51	0	50	0	54	0
cell4	0	58	68	0	55	0	53	0	58	0	5	44	48	5	22	34	59	0	46	0	38	0	43	0	47	1	46	0	51	0
cell5	1	42	42	0	38	0	45	0	49	0	6	54	40	2	40	2	42	16	52	0	52	0	42	3	52	0	44	1	55	3
cell6	0	50	37	0	55	0	50	0	39	0	5	45	31	11	31	32	46	8	48	0	43	0	44	0	49	0	54	0	32	6
cell7	0	48	22	29	26	27	10	32	31	0	64	0	42	0	46	0	61	2	33	0	44	0	67	1	34	0	43	5	35	0
cell8	0	46	40	1	50	0	58	0	35	3	30	13	38	4	50	0	40	0	52	0	52	0	52	0	51	0	60	2	47	3
cell9	0	53	43	0	41	0	56	0	56	0	7	45	37	3	37	4	45	0	54	0	55	0	39	5	44	0	42	0	65	0
cell10	0	43	36	21	60	2	44	0	47	1	56	0	49	0	48	0	51	0	59	0	56	0	44	3	53	0	51	0	57	0
cell11	6	35	50	0	43	0	53	0	39	0	1	52	35	21	34	4	40	3	38	0	48	0	42	0	45	1	49	0	27	25
cell12	0	53	55	0	39	0	59	0	53	2	3	55	40	11	36	11	52	5	50	0	39	2	48	0	62	0	49	0	57	1
cell13	1	53	9	29	45	1	67	0	53	0	56	0	37	0	49	0	38	1	52	0	52	0	39	0	46	0	50	0	63	0
cell14	0	60	6	40	40	3	44	0	44	0	49	0	60	1	43	0	57	0	50	3	49	0	38	0	53	0	51	0	68	0
cell15	0	43	48	2	67	1	48	0	49	0	40	3	49	1	42	1	53	0	41	0	49	0	52	0	47	0	61	1	53	0
cell16	0	54	42	0	51	0	56	0	46	0	15	32	34	8	55	10	34	2	60	0	53	0	52	1	43	0	46	0	48	0
cell17	0	63	13	43	48	4	48	1	62	0	49	0	40	0	59	0	52	0	49	0	45	0	49	0	61	0	36	24	69	0
cell18	0	53	43	1	42	0	50	0	49	0	44	0	46	0	50	0	58	0	58	0	42	1	46	2	49	0	54	0	44	0
cell19	0	50	51	0	59	0	33	0	48	0	15	39	22	33	26	27	61	0	46	0	51	0	60	0	50	0	51	0	56	0
cell20	0	44	14	33	47	4	53	0	48	7	52	0	50	0	56	0	52	0	46	0	42	4	52	0	63	0	49	1	45	0
cell21	0	54	49	0	46	1	47	0	44	0	24	33	39	3	53	2	43	0	32	2	52	0	48	0	51	0	46	0	51	1
cell22	0	49	0	50	40	11	54	5	60	0	50	0	50	0	49	0	44	3	39	7	52	0	51	0	54	0	21	25	54	1
cell23	0	40	39	1	51	0	46	0	37	0	55	0	49	0	49	1	48	2	55	0	48	0	66	0	37	2	48	0	47	0
cell24	2	52	45	0	54	0	49	0	45	0	4	52	42	1	43	15	62	0	40	9	31	9	52	0	65	0	45	0	59	0
cell25	1	50	55	0	48	0	56	0	45	0	5	44	43	11	20	22	45	5	37	10	32	21	44	0	46	1	55	0	54	0
cell26	0	57	45	0	47	0	58	1	50	0	50	0	60	0	57	0	54	1	53	0	62	0	55	0	64	0	54	1	59	0
